Year,City,Sport,Discipline,Country,Gender,Event,Medal,Athlete
1896,Athens,Aquatics,Swimming,AUT,Men,100M Freestyle,Silver,"HERSCHMANN, Otto"
1896,Athens,Aquatics,Swimming,AUT,Men,400M Freestyle,Gold,"NEUMANN, Paul"
1896,Athens,Aquatics,Swimming,GRE,Men,100M Freestyle For Sailors,Bronze,"DRIVAS, Dimitrios"
1896,Athens,Aquatics,Swimming,GRE,Men,100M Freestyle For Sailors,Gold,"MALOKINIS, Ioannis"
1896,Athens,Aquatics,Swimming,GRE,Men,100M Freestyle For Sailors,Silver,"CHASAPIS, Spiridon"
1896,Athens,Aquatics,Swimming,GRE,Men,1200M Freestyle,Bronze,"CHOROPHAS, Efstathios"
1896,Athens,Aquatics,Swimming,GRE,Men,1200M Freestyle,Silver,"ANDREOU, Joannis"
1896,Athens,Aquatics,Swimming,GRE,Men,400M Freestyle,Bronze,"CHOROPHAS, Efstathios"
1896,Athens,Aquatics,Swimming,GRE,Men,400M Freestyle,Silver,"PEPANOS, Antonios"
1896,Athens,Aquatics,Swimming,HUN,Men,100M Freestyle,Gold,"HAJOS, Alfred"
1896,Athens,Aquatics,Swimming,HUN,Men,1200M Freestyle,Gold,"HAJOS, Alfred"
1896,Athens,Athletics,Athletics,AUS,Men,1500M,Gold,"FLACK, Edwin"
1896,Athens,Athletics,Athletics,AUS,Men,800M,Gold,"FLACK, Edwin"
1896,Athens,Athletics,Athletics,FRA,Men,1500M,Bronze,"LERMUSIAUX, Albin"
1896,Athens,Athletics,Athletics,FRA,Men,Triple Jump,Silver,"TUFFERI, Alexandre"
1896,Athens,Athletics,Athletics,GBR,Men,110M Hurdles,Silver,"GOULDING, Grantley"
1896,Athens,Athletics,Athletics,GBR,Men,400M,Bronze,"GMELIN, Charles"
1896,Athens,Athletics,Athletics,GER,Men,100M,Silver,"HOFMANN, Fritz"
1896,Athens,Athletics,Athletics,GRE,Men,800M,Bronze,"GOLEMIS, Dimitrios"
1896,Athens,Athletics,Athletics,GRE,Men,Discus Throw,Bronze,"VERSIS, Sotirios"
1896,Athens,Athletics,Athletics,GRE,Men,Discus Throw,Silver,"PARASKEVOPOULOS, Panagiotis"
1896,Athens,Athletics,Athletics,GRE,Men,Marathon,Gold,"LOUIS, Spyridon"
1896,Athens,Athletics,Athletics,GRE,Men,Marathon,Silver,"VASILAKOS, Kharilaos"
1896,Athens,Athletics,Athletics,GRE,Men,Shot Put,Bronze,"PAPASIDERIS, Georgios"
1896,Athens,Athletics,Athletics,GRE,Men,Shot Put,Silver,"GOUSKOS, Miltiadis"
1896,Athens,Athletics,Athletics,GRE,Men,Triple Jump,Bronze,"PERSAKIS, Ioannis"
1896,Athens,Athletics,Athletics,HUN,Men,100M,Bronze,"SZOKOLYI, Alajos"
1896,Athens,Athletics,Athletics,HUN,Men,800M,Silver,"DANI, Nandor"
1896,Athens,Athletics,Athletics,HUN,Men,Marathon,Bronze,"KELLNER, Gyula"
1896,Athens,Athletics,Athletics,USA,Men,100M,Bronze,"LANE, Francis"
1896,Athens,Athletics,Athletics,USA,Men,100M,Gold,"BURKE, Thomas"
1896,Athens,Athletics,Athletics,USA,Men,110M Hurdles,Gold,"CURTIS, Thomas"
1896,Athens,Athletics,Athletics,USA,Men,1500M,Silver,"BLAKE, Arthur"
1896,Athens,Athletics,Athletics,USA,Men,400M,Gold,"BURKE, Thomas"
1896,Athens,Athletics,Athletics,USA,Men,400M,Silver,"JAMISON, Herbert"
1896,Athens,Athletics,Athletics,USA,Men,Discus Throw,Gold,"GARRETT, Robert"
1896,Athens,Athletics,Athletics,USA,Men,High Jump,Gold,"CLARK, Ellery"
1896,Athens,Athletics,Athletics,USA,Men,Long Jump,Bronze,"CONNOLLY, James"
1896,Athens,Athletics,Athletics,USA,Men,Long Jump,Gold,"CLARK, Ellery"
1896,Athens,Athletics,Athletics,USA,Men,Long Jump,Silver,"GARRETT, Robert"
1896,Athens,Athletics,Athletics,USA,Men,Pole Vault,Gold,"HOYT, William Welles"
1896,Athens,Athletics,Athletics,USA,Men,Pole Vault,Silver,"TYLER, Albert"
1896,Athens,Athletics,Athletics,USA,Men,Shot Put,Gold,"GARRETT, Robert"
1896,Athens,Athletics,Athletics,USA,Men,Triple Jump,Gold,"CONNOLLY, James"
1896,Athens,Athletics,Athletics,GRE,Men,Pole Vault,Bronze,GRE
1896,Athens,Athletics,Athletics,USA,Men,High Jump,Silver,USA
1896,Athens,Cycling,Cycling Road,GBR,Men,Individual Road Race,Bronze,"BATTEL, Edward"
1896,Athens,Cycling,Cycling Road,GER,Men,Individual Road Race,Silver,"GOEDRICH, August"
1896,Athens,Cycling,Cycling Road,GRE,Men,Individual Road Race,Gold,"KONSTANTINIDIS, Aristidis"
1896,Athens,Cycling,Cycling Track,AUT,Men,10KM,Bronze,"SCHMAL, Adolf"
1896,Athens,Cycling,Cycling Track,AUT,Men,12-Hour Race,Gold,"SCHMAL, Adolf"
1896,Athens,Cycling,Cycling Track,AUT,Men,1KM Time Trial,Bronze,"SCHMAL, Adolf"
1896,Athens,Cycling,Cycling Track,FRA,Men,100KM,Gold,"FLAMENG, Léon"
1896,Athens,Cycling,Cycling Track,FRA,Men,10KM,Gold,"MASSON, Paul"
1896,Athens,Cycling,Cycling Track,FRA,Men,10KM,Silver,"FLAMENG, Léon"
1896,Athens,Cycling,Cycling Track,FRA,Men,1KM Time Trial,Gold,"MASSON, Paul"
1896,Athens,Cycling,Cycling Track,FRA,Men,Sprint Indivual,Bronze,"FLAMENG, Léon"
1896,Athens,Cycling,Cycling Track,FRA,Men,Sprint Indivual,Gold,"MASSON, Paul"
1896,Athens,Cycling,Cycling Track,GBR,Men,12-Hour Race,Silver,"KEEPING, Frank"
1896,Athens,Cycling,Cycling Track,GRE,Men,100KM,Silver,"KOLETTIS, Georgios"
1896,Athens,Cycling,Cycling Track,GRE,Men,1KM Time Trial,Silver,"NIKOLOPOULOS, Stamatios"
1896,Athens,Cycling,Cycling Track,GRE,Men,Sprint Indivual,Silver,"NIKOLOPOULOS, Stamatios"
1896,Athens,Fencing,Fencing,DEN,Men,Sabre Individual,Bronze,"NIELSEN, Holger"
1896,Athens,Fencing,Fencing,FRA,Men,Foil Individual,Gold,"GRAVELOTTE, Eugène-Henri"
1896,Athens,Fencing,Fencing,FRA,Men,Foil Individual,Silver,"CALLOT, Henri"
1896,Athens,Fencing,Fencing,FRA,Men,"Foil, Masters",Silver,"PERRONNET, Maurice"
1896,Athens,Fencing,Fencing,GRE,Men,Foil Individual,Bronze,"PIERRAKOS-MAVROMICHALIS, Perikles"
1896,Athens,Fencing,Fencing,GRE,Men,"Foil, Masters",Gold,"PYRGOS, Leonidas"
1896,Athens,Fencing,Fencing,GRE,Men,Sabre Individual,Gold,"GEORGIADIS, Ioannis"
1896,Athens,Fencing,Fencing,GRE,Men,Sabre Individual,Silver,"KARAKALOS, Telemachos"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Horizontal Bar,Gold,"WEINGÄRTNER, Hermann"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Horizontal Bar,Silver,"FLATOW, Alfred"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Parallel Bars,Gold,"FLATOW, Alfred"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Pommel Horse,Silver,"WEINGÄRTNER, Hermann"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Rings,Silver,"WEINGÄRTNER, Hermann"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Rope Climbing,Bronze,"HOFMANN, Fritz"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Vault,Bronze,"WEINGÄRTNER, Hermann"
1896,Athens,Gymnastics,Artistic G.,GER,Men,Vault,Gold,"SCHUMANN, Carl"
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rings,Bronze,"PERSAKIS, Petros"
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rings,Gold,"MITROPOULOS, Ioannis"
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rope Climbing,Gold,"ANDRIAKOPOULOS, Nicolaos"
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rope Climbing,Silver,"XENAKIS, Thomasios"
1896,Athens,Gymnastics,Artistic G.,SUI,Men,Parallel Bars,Silver,"ZUTTER, Louis"
1896,Athens,Gymnastics,Artistic G.,SUI,Men,Pommel Horse,Gold,"ZUTTER, Louis"
1896,Athens,Gymnastics,Artistic G.,SUI,Men,Vault,Silver,"ZUTTER, Louis"
1896,Athens,Gymnastics,Artistic G.,GER,Men,"Team, Horizontal Bar",Gold,GER
1896,Athens,Gymnastics,Artistic G.,GER,Men,"Team, Parallel Bars",Gold,GER
1896,Athens,Gymnastics,Artistic G.,GRE,Men,"Team, Parallel Bars",Bronze,GRE
1896,Athens,Gymnastics,Artistic G.,GRE,Men,"Team, Parallel Bars",Silver,GRE
1896,Athens,Shooting,Shooting,DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze,"NIELSEN, Holger"
1896,Athens,Shooting,Shooting,DEN,Men,50M Pistol (60 Shots),Silver,"NIELSEN, Holger"
1896,Athens,Shooting,Shooting,DEN,Men,"Army Rifle, 300M",Bronze,"JENSEN, Viggo"
1896,Athens,Shooting,Shooting,GRE,Men,25M Army Pistol,Bronze,"MORAKIS, Nikolaos"
1896,Athens,Shooting,Shooting,GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold,"PHRANGOUDIS, Joannis"
1896,Athens,Shooting,Shooting,GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver,"ORPHANIDIS, Georgios"
1896,Athens,Shooting,Shooting,GRE,Men,50M Pistol (60 Shots),Bronze,"PHRANGOUDIS, Joannis"
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 200M",Bronze,"TRIKUPIS, Nicolaos"
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 200M",Gold,"KARASEVDAS, Pantelis"
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 200M",Silver,"PAVLIDIS, Pavlos"
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 300M",Gold,"ORPHANIDIS, Georgios"
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 300M",Silver,"PHRANGOUDIS, Joannis"
1896,Athens,Shooting,Shooting,USA,Men,25M Army Pistol,Gold,"PAINE, John"
1896,Athens,Shooting,Shooting,USA,Men,25M Army Pistol,Silver,"PAINE, Sumner"
1896,Athens,Shooting,Shooting,USA,Men,50M Pistol (60 Shots),Gold,"PAINE, Sumner"
1896,Athens,Tennis,Tennis,GBR,Men,Singles,Gold,"BOLAND, John"
1896,Athens,Tennis,Tennis,GRE,Men,Singles,Bronze,"PASPATIS, Konstantinos"
1896,Athens,Tennis,Tennis,GRE,Men,Singles,Silver,"KASDAGLIS, Dionysios"
1896,Athens,Tennis,Tennis,HUN,Men,Singles,Bronze,"TAPAVICZA, Momcsillo"
1896,Athens,Tennis,Tennis,ZZX,Men,Doubles,Bronze,ZZX
1896,Athens,Tennis,Tennis,ZZX,Men,Doubles,Gold,ZZX
1896,Athens,Tennis,Tennis,ZZX,Men,Doubles,Silver,ZZX
1896,Athens,Weightlifting,Weightlifting,DEN,Men,Heavyweight - One Hand Lift,Silver,"JENSEN, Viggo"
1896,Athens,Weightlifting,Weightlifting,DEN,Men,Heavyweight - Two Hand Lift,Gold,"JENSEN, Viggo"
1896,Athens,Weightlifting,Weightlifting,GBR,Men,Heavyweight - One Hand Lift,Gold,"ELLIOTT, Launceston"
1896,Athens,Weightlifting,Weightlifting,GBR,Men,Heavyweight - Two Hand Lift,Silver,"ELLIOTT, Launceston"
1896,Athens,Weightlifting,Weightlifting,GRE,Men,Heavyweight - One Hand Lift,Bronze,"NIKOLOPOULOS, Alexandros"
1896,Athens,Weightlifting,Weightlifting,GRE,Men,Heavyweight - Two Hand Lift,Bronze,"VERSIS, Sotirios"
1896,Athens,Wrestling,Wrestling Gre-R,GER,Men,Open Event,Gold,"SCHUMANN, Carl"
1896,Athens,Wrestling,Wrestling Gre-R,GRE,Men,Open Event,Bronze,"CHRISTOPOULOS, Stephanos"
1896,Athens,Wrestling,Wrestling Gre-R,GRE,Men,Open Event,Silver,"TSITAS, Georgios"
1900,Paris,Aquatics,Swimming,AUS,Men,200M Freestyle,Gold,"LANE, Frederick C.V."
1900,Paris,Aquatics,Swimming,AUS,Men,200M Obstacle Event,Gold,"LANE, Frederick C.V."
1900,Paris,Aquatics,Swimming,AUT,Men,1500M Freestyle,Silver,"WAHLE, Otto"
1900,Paris,Aquatics,Swimming,AUT,Men,200M Backstroke,Silver,"RUBERL, Karl"
1900,Paris,Aquatics,Swimming,AUT,Men,200M Freestyle,Bronze,"RUBERL, Karl"
1900,Paris,Aquatics,Swimming,AUT,Men,200M Obstacle Event,Silver,"WAHLE, Otto"
1900,Paris,Aquatics,Swimming,DEN,Men,Underwater Swimming,Bronze,"LYKKEBERG, Peder"
1900,Paris,Aquatics,Swimming,FRA,Men,4000M Freestyle,Bronze,"MARTIN, Louis"
1900,Paris,Aquatics,Swimming,FRA,Men,Underwater Swimming,Gold,"DE VENDEVILLE, Charles"
1900,Paris,Aquatics,Swimming,FRA,Men,Underwater Swimming,Silver,"SIX, André"
